run,val_auc
1,0.5420837589376915
2,0.5296561116785836
3,0.5654749744637385
4,0.5459822948586994
5,0.5346612189308819
6,0.5235784814436499
7,0.6171773918964931
8,0.5207013959822948
9,0.5545965270684372
10,0.555124276472591
